"","titulo","diretor","sinopse","genero","duracao","paises","ano","mostra","dia","data","hora","local","bairro","hora_fim"
"1","As viúvas","Steve McQueen","<U+200B>Quatro mulheres sem nada em comum, exceto uma dívida deixada pelas atividades criminosas de seus maridos mortos. Na contemporânea Chicago, em meio a um tumulto, as tensões aumentam quando Veronica, Alice, Linda e Belle assumem seus destinos em suas próprias mãos e conspiram para construir um futuro sob seus próprios termos.
<U+200B>","Ficção/Fiction",128,"Reino Unido / Estados Unidos",2018,"Noite de Abertura","Quinta",2018-11-01,23:59:00,"CCLSR - Cine Odeon NET Claro","Centro",02:07:00
"2","Rafiki","Wanuri Kahiu","<U+200B>As boas meninas do Quênia se tornam boas esposas quenianas, mas as jovens Kena e Ziki desejam algo maior para suas vidas. Apesar da rivalidade política entre suas famílias, as garotas resistem e continuam sendo amigas próximas, apoiando-se mutuamente para alcançar seus sonhos em uma sociedade 
bastante conservadora. Quando o amor floresce entre elas, as duas meninas serão forçadas a 
escolher entre felicidade e segurança. Banido em sua terra natal, o filme, a primeira produção do Quênia a ser exibida em Cannes, foi indicado ao prêmio Un Certain Regard .","Ficção/Fiction",82,"Quênia / África do Sul / França / Holanda / Alemanha",2018,"Expectativa 2018","Sexta",2018-11-02,13:10:00,"Estação NET Botafogo 1","Botafogo",14:32:00
"3","Rafiki","Wanuri Kahiu","<U+200B>As boas meninas do Quênia se tornam boas esposas quenianas, mas as jovens Kena e Ziki desejam algo maior para suas vidas. Apesar da rivalidade política entre suas famílias, as garotas resistem e continuam sendo amigas próximas, apoiando-se mutuamente para alcançar seus sonhos em uma sociedade 
bastante conservadora. Quando o amor floresce entre elas, as duas meninas serão forçadas a 
escolher entre felicidade e segurança. Banido em sua terra natal, o filme, a primeira produção do Quênia a ser exibida em Cannes, foi indicado ao prêmio Un Certain Regard .","Ficção/Fiction",82,"Quênia / África do Sul / França / Holanda / Alemanha",2018,"Expectativa 2018","Domingo",2018-11-04,13:20:00,"Estação NET Ipanema 2","Ipanema",14:42:00
"4","Rafiki","Wanuri Kahiu","<U+200B>As boas meninas do Quênia se tornam boas esposas quenianas, mas as jovens Kena e Ziki desejam algo maior para suas vidas. Apesar da rivalidade política entre suas famílias, as garotas resistem e continuam sendo amigas próximas, apoiando-se mutuamente para alcançar seus sonhos em uma sociedade 
bastante conservadora. Quando o amor floresce entre elas, as duas meninas serão forçadas a 
escolher entre felicidade e segurança. Banido em sua terra natal, o filme, a primeira produção do Quênia a ser exibida em Cannes, foi indicado ao prêmio Un Certain Regard .","Ficção/Fiction",82,"Quênia / África do Sul / França / Holanda / Alemanha",2018,"Expectativa 2018","Terça",2018-11-06,14:40:00,"Reserva Cultural Niterói 1","Niterói",16:02:00
"5","Rafiki","Wanuri Kahiu","<U+200B>As boas meninas do Quênia se tornam boas esposas quenianas, mas as jovens Kena e Ziki desejam algo maior para suas vidas. Apesar da rivalidade política entre suas famílias, as garotas resistem e continuam sendo amigas próximas, apoiando-se mutuamente para alcançar seus sonhos em uma sociedade 
bastante conservadora. Quando o amor floresce entre elas, as duas meninas serão forçadas a 
escolher entre felicidade e segurança. Banido em sua terra natal, o filme, a primeira produção do Quênia a ser exibida em Cannes, foi indicado ao prêmio Un Certain Regard .","Ficção/Fiction",82,"Quênia / África do Sul / França / Holanda / Alemanha",2018,"Expectativa 2018","Sexta",2018-11-09,16:30:00,"Estação NET Gávea 3","Gávea",17:52:00
"6","Rafiki","Wanuri Kahiu","<U+200B>As boas meninas do Quênia se tornam boas esposas quenianas, mas as jovens Kena e Ziki desejam algo maior para suas vidas. Apesar da rivalidade política entre suas famílias, as garotas resistem e continuam sendo amigas próximas, apoiando-se mutuamente para alcançar seus sonhos em uma sociedade 
bastante conservadora. Quando o amor floresce entre elas, as duas meninas serão forçadas a 
escolher entre felicidade e segurança. Banido em sua terra natal, o filme, a primeira produção do Quênia a ser exibida em Cannes, foi indicado ao prêmio Un Certain Regard .","Ficção/Fiction",82,"Quênia / África do Sul / França / Holanda / Alemanha",2018,"Expectativa 2018","Domingo",2018-11-11,21:00:00,"Estação NET Rio 3","Botafogo",22:22:00
"7","Profile","Timur Bekmambetov","<U+200B>Ao investigar as técnicas de recrutamento online do Estado Islâmico usadas para atrair jovens europeias para a Síria como noivas da Jihad, Amy Whittaker, uma jornalista freelancer de Londres, cria no Facebook um perfil falso de uma muçulmana 
convertida radicalizada. Quando um recrutador profissional entra em contato, ela se depara com uma oportunidade única. Mas Amy se coloca em perigo quando a fronteira entre seu perfil real e seu perfil falso se dissolve. Baseado no best-seller Na pele de uma Jihadista, da jornalista francesa Anna Erelle.<U+200B> Berlim e Sundance 2018.","Ficção/Fiction",105,"Estados Unidos / Reino Unido / Chipre / Rússia",2018,"Midnight","Sexta",2018-11-02,13:20:00,"Estação NET Ipanema 2","Ipanema",15:05:00
"8","Profile","Timur Bekmambetov","<U+200B>Ao investigar as técnicas de recrutamento online do Estado Islâmico usadas para atrair jovens europeias para a Síria como noivas da Jihad, Amy Whittaker, uma jornalista freelancer de Londres, cria no Facebook um perfil falso de uma muçulmana 
convertida radicalizada. Quando um recrutador profissional entra em contato, ela se depara com uma oportunidade única. Mas Amy se coloca em perigo quando a fronteira entre seu perfil real e seu perfil falso se dissolve. Baseado no best-seller Na pele de uma Jihadista, da jornalista francesa Anna Erelle.<U+200B> Berlim e Sundance 2018.","Ficção/Fiction",105,"Estados Unidos / Reino Unido / Chipre / Rússia",2018,"Midnight","Sábado",2018-11-03,13:30:00,"Estação NET Rio 3","Botafogo",15:15:00
"9","Profile","Timur Bekmambetov","<U+200B>Ao investigar as técnicas de recrutamento online do Estado Islâmico usadas para atrair jovens europeias para a Síria como noivas da Jihad, Amy Whittaker, uma jornalista freelancer de Londres, cria no Facebook um perfil falso de uma muçulmana 
convertida radicalizada. Quando um recrutador profissional entra em contato, ela se depara com uma oportunidade única. Mas Amy se coloca em perigo quando a fronteira entre seu perfil real e seu perfil falso se dissolve. Baseado no best-seller Na pele de uma Jihadista, da jornalista francesa Anna Erelle.<U+200B> Berlim e Sundance 2018.","Ficção/Fiction",105,"Estados Unidos / Reino Unido / Chipre / Rússia",2018,"Midnight","Domingo",2018-11-04,13:30:00,"Estação NET Gávea 1","Gávea",15:15:00
"10","Profile","Timur Bekmambetov","<U+200B>Ao investigar as técnicas de recrutamento online do Estado Islâmico usadas para atrair jovens europeias para a Síria como noivas da Jihad, Amy Whittaker, uma jornalista freelancer de Londres, cria no Facebook um perfil falso de uma muçulmana 
convertida radicalizada. Quando um recrutador profissional entra em contato, ela se depara com uma oportunidade única. Mas Amy se coloca em perigo quando a fronteira entre seu perfil real e seu perfil falso se dissolve. Baseado no best-seller Na pele de uma Jihadista, da jornalista francesa Anna Erelle.<U+200B> Berlim e Sundance 2018.","Ficção/Fiction",105,"Estados Unidos / Reino Unido / Chipre / Rússia",2018,"Midnight","Domingo",2018-11-11,21:30:00,"Estação NET Rio 4","Botafogo",23:15:00
